episodio,recompensa_total,pasos,epsilon,q_values_mean,td_errors_mean
50,-74.90000107884407,1600,0.9511105076342115,0.2979601479232897,0.10236669266744522
51,-7.250000052154064,1600,0.9501593971265773,0.34246871965740444,0.07327946993433614
52,-45.750000577419996,1600,0.9492092377294507,0.3541462263158983,0.0896098877704763
53,-79.35000115260482,1600,0.9482600284917212,0.4044158379153926,0.06910510952408805
54,-68.000000923872,1600,0.9473117684632295,0.20154769390065536,0.101237767387594
55,-86.60000124946237,1600,0.9463644566947663,0.47243007198619646,0.07867379260798991
56,-30.60000041872263,1600,0.9454180922380716,0.5226674505450389,0.08132907651927385
57,-65.90000094845891,1600,0.9444726741458336,0.36468190327519767,0.08954836068083208
58,-45.60000064224005,1600,0.9435282014716877,0.5139376781281109,0.06335937107315333
59,-91.05000133812428,1600,0.942584673270216,0.48025550495830394,0.0971569825024965
60,-73.4000010676682,1600,0.9416420885969458,0.5376370778219748,0.054491553472508454
61,-80.45000112429261,1600,0.9407004465083488,0.5205350707894284,0.06909968526715679
62,-127.95000188052654,1600,0.9397597460618404,0.44588855431308605,0.0914609431376157
63,-90.95000134035945,1600,0.9388199863157786,0.4236406240426891,0.0938054852300279
64,-37.35000045597553,1600,0.9378811663294628,0.32028353521448494,0.07160863059077721
65,-72.000001039356,1600,0.9369432851631334,0.5911275813619654,0.059685942180713415
66,-64.75000088661909,1600,0.9360063418779703,0.52191403032768,0.06695451124952549
67,-78.05000115185976,1600,0.9350703355360923,0.4750125030425197,0.06891648116755954
68,-64.4500009343028,1600,0.9341352652005562,0.7648907110327005,0.08154140555947381
69,-61.850000873208046,1600,0.9332011299353556,0.5453127806554143,0.07275603215691202
70,-39.35000054165721,1600,0.9322679288054203,0.6170641556196556,0.06249572104315087
71,-117.75000175833702,1600,0.9313356608766149,0.5526782418641085,0.09540372630061414
72,-85.55000128224492,1600,0.9304043252157382,0.5166633119445053,0.07479096625871029
73,-42.75000049546361,1600,0.9294739208905225,0.32073097097876324,0.0976206441901764
74,-66.85000091046095,1600,0.928544446969632,0.733610261098298,0.05569930169629407
75,-92.20000132545829,1600,0.9276159025226624,0.821180088505376,0.06222785507840831
76,-119.30000173300505,1600,0.9266882866201397,0.3888801598586965,0.09527774029862153
77,-86.75000126287341,1600,0.9257615983335196,0.7876126040940581,0.06898903693942439
78,-111.35000163316727,1600,0.924835836735186,0.7151757949326603,0.09565813037231657
79,-56.800000824034214,1600,0.9239110008984508,0.6592973617822825,0.06568647231692379
80,-80.15000117570162,1600,0.9229870898975523,0.753391841171865,0.07041141877315947
81,-137.80000210925937,1600,0.9220641028076547,0.5552562954667946,0.09334246247344613
82,-5.0,1600,0.921142038704847,0.622862215451204,0.042438200642365344
83,-64.10000093281269,1600,0.9202208966661422,0.8050311268218209,0.05965727085097427
84,-27.350000400096178,1600,0.919300675769476,0.769846755489941,0.04163871462389706
85,-73.55000104010105,1600,0.9183813750937065,0.8806865207256639,0.06786467104166136
86,-90.65000129118562,1600,0.9174629937186128,0.8611386039539625,0.06292435198513015
87,-85.85000122711062,1600,0.9165455307248942,0.5070837053140622,0.08277255513174755
88,-70.00000101700425,1600,0.9156289851941694,0.7693759528189961,0.07406940785648257
89,-69.20000098273158,1600,0.9147133562089752,1.0487421947421194,0.06831650134941908
90,-96.10000139847398,1600,0.9137986428527662,0.6329428131567283,0.08275888113068271
91,-65.90000094100833,1600,0.9128848442099134,0.8843248559859476,0.07275992710700281
92,-15.250000201165676,1600,0.9119719593657035,0.9170970601999873,0.027222985243018576
93,-88.20000125467777,1600,0.9110599874063379,0.8487475017931618,0.07312501369518846
94,-91.05000129342079,1600,0.9101489274189315,0.8404910658902579,0.0855718852559928
95,-32.150000393390656,1600,0.9092387784915126,0.621240655082021,0.05045692628337198
96,-75.50000101327896,1600,0.9083295397130211,0.8052009627571729,0.08062345113702571
97,-7.500000014901161,1600,0.9074212101733081,0.7405876074858013,0.027486934035105142
98,-91.65000136196613,1600,0.9065137889631348,0.8353436206681697,0.08026309708527261
99,-75.20000101998448,1600,0.9056072751741717,1.166885709764106,0.07941793662391375
100,-77.00000114366412,1600,0.9047016678989975,0.9419684914944465,0.04679229036598683
101,-104.85000149533153,1600,0.9037969662310985,1.1285999351081581,0.07722893715834271
102,-106.8000015616417,1600,0.9028931692648674,0.8873824970234825,0.08319739687235443
103,-117.60000169277191,1600,0.9019902760956026,0.9145478273705535,0.08543096153674551
104,-105.85000137612224,1600,0.901088285819507,1.1741567987518926,0.09717346023467195
105,-51.10000070184469,1600,0.9001871975336875,0.7373436398705261,0.056542095670075065
106,-121.20000180974603,1600,0.8992870103361538,0.7897359225866243,0.0960235704200247
107,-86.60000125318766,1600,0.8983877233258176,1.0369088762499665,0.08201792011956335
108,-88.45000129193068,1600,0.8974893356024918,1.1030896256684177,0.06003902936397666
109,-19.850000258535147,1600,0.8965918462668893,1.2090924598577593,0.02871148212810396
110,-66.8000009469688,1600,0.8956952544206224,0.9307045883869414,0.0724229364531678
111,-29.10000042244792,1600,0.8947995591662018,1.1026662092002812,0.0354512336083695
112,-83.85000126063824,1600,0.8939047596070356,1.0205394093847795,0.06658186784804591
113,-101.50000148639083,1600,0.8930108548474286,0.9702037975778359,0.08010489274762031
114,-95.75000139698386,1600,0.8921178439925812,1.1232280185879946,0.0645622765952009
115,-24.550000343471766,1600,0.8912257261485886,1.1864883925208938,0.026645951400863024
116,-81.95000119507313,1600,0.89033450042244,1.1595920738473755,0.06163864059394847
117,-60.50000087171793,1600,0.8894441659220176,1.2364206826220707,0.06452120405241672
118,-2.0,1600,0.8885547217560955,1.1839231780388235,0.01043399511770561
119,-101.75000152364373,1600,0.8876661670343394,1.2092449479232363,0.09125991623096243
120,-58.20000083744526,1600,0.886778500867305,0.9647370450156824,0.06407792599523407
121,-1.0,1600,0.8858917223664378,1.1879383008963933,0.006300489858377976
122,-31.700000412762165,1600,0.8850058306440713,0.9977408077484529,0.03744092412521579
123,-19.75000026449561,1600,0.8841208248134272,1.2997891981342515,0.026030440084632702
124,-55.55000077560544,1600,0.8832367039886138,1.1888474931289874,0.06053693945238087
125,-83.00000117719173,1600,0.8823534672846252,1.104772628363276,0.08414038530380731
126,-92.40000136941671,1600,0.8814711138173406,1.2138185798716254,0.07826337147531638
127,-2.0,1600,0.8805896427035232,1.2770415528878842,0.006837706711970591
128,-22.95000023767352,1600,0.8797090530608197,1.1250811814146509,0.02803384391851128
129,-65.40000081434846,1600,0.8788293440077589,1.2806313420709323,0.058745164362604727
130,-52.25000074133277,1600,0.8779505146637512,1.2195614475890006,0.0554331794646431
131,-82.15000121667981,1600,0.8770725641490874,1.2201370958059639,0.08331533173790863
132,-83.75000127032399,1600,0.8761954915849384,0.9914727745325825,0.08524803023306424
133,0.0,1600,0.8753192960933535,1.2737194462931773,0.007518488167889576
134,-40.25000047311187,1600,0.8744439767972602,1.3215893093358415,0.04552637082071139
135,-29.850000336766243,1600,0.8735695328204629,1.215055281400379,0.03702102297466084
136,-1.0,1600,0.8726959632876424,1.315065452622384,0.006632194740357873
137,-99.95000134035945,1600,0.8718232673243548,1.2737928018152898,0.08113122484084127
138,-52.350000742822886,1600,0.8709514440570304,1.2874088144177267,0.05566682990081738
139,-51.70000073686242,1600,0.8700804926129734,1.1714651119767363,0.05596845728891309
140,-125.65000183135271,1600,0.8692104121203604,1.2718321398022665,0.08491114886893039
141,-52.65000072866678,1600,0.86834120170824,1.3528099375572002,0.053762603472107796
142,-51.800000723451376,1600,0.8674728605065318,1.308379250529845,0.05808814582241942
143,-3.0,1600,0.8666053876460253,1.3082606734035367,0.011001431963007994
144,-71.00000102072954,1600,0.8657387822583793,1.3626662656674622,0.04286608833665424
145,-44.00000059232116,1600,0.8648730434761209,1.2690638390358193,0.04989582657693694
146,-89.05000122264028,1600,0.8640081704326448,1.4059000471647842,0.0809256089197547
147,-123.95000180602074,1600,0.8631441622622121,1.2836614447123451,0.09178596633543788
148,-106.75000132620335,1600,0.86228101809995,1.1037203350034561,0.08688951182648694
149,-88.25000131875277,1600,0.86141873708185,1.3646219198330451,0.0854262084742578
150,-112.0500015988946,1600,0.8605573183447681,1.44742640969742,0.09134370044129025
151,-36.20000047236681,1600,0.8596967610264233,1.202105058802531,0.040702453784048125
152,-114.50000168010592,1600,0.858837064265397,1.4093188776025958,0.0885460898771618
153,-97.35000137984753,1600,0.8579782272011316,1.4873844217274381,0.09011991327907436
154,-60.95000088587403,1600,0.8571202489739305,1.5747219763598035,0.06512277555705208
155,-10.25000011920929,1600,0.8562631287249566,1.4797485285752698,0.015460878072894254
156,1.0,1600,0.8554068655962316,1.207836123961562,0.005670679296101608
157,-88.40000123530626,1600,0.8545514587306353,1.306766837985549,0.0792115199105966
158,0.0,1600,0.8536969072719047,1.319876139971835,0.004452021370307611
159,-31.300000458955765,1600,0.8528432103646328,1.5815491710531668,0.03704373262792156
160,-3.0,1600,0.8519903671542682,1.737462553412473,0.009525391296236276
161,-11.550000168383121,1600,0.851138376787114,1.1931712582129872,0.017209514646825443
162,-1.300000011920929,1600,0.8502872384103269,1.1795742041162276,0.007599649828172394
163,0.0,1600,0.8494369511719166,1.299092443564594,0.007124094896138567
164,0.0,1600,0.8485875142207447,1.3641046549240825,0.006699416536065358
165,-7.800000097602606,1600,0.847738926706524,1.2092556591139478,0.011869410504321876
166,-1.0,1600,0.8468911877798174,1.504752278898535,0.005861864047503163
167,-1.0,1600,0.8460442965920376,1.512810650216313,0.008398894408712256
168,-16.950000252574682,1600,0.8451982522954455,1.5358462303786575,0.023363854979699988
169,0.0,1600,0.8443530540431501,1.5028619213126926,0.007100878972749757
170,-155.85000228881836,1600,0.8435087009891069,1.7983065260800413,0.08543795955881965
171,-121.55000183358788,1600,0.8426651922881178,1.6982239750918442,0.08524066558892351
172,-80.0000011511147,1600,0.8418225270958296,1.5252676502826257,0.0582457679542998
173,-108.2000015899539,1600,0.8409807045687338,1.5369903497514028,0.08053835018978808
174,-16.000000208616257,1600,0.840139723864165,1.3767040828762902,0.005643891932959579
175,-8.500000089406967,1600,0.8392995841403008,1.2117390681567148,0.012286889028355119
176,-1.0,1600,0.8384602845561605,1.3233087306814542,0.004840898567099517
177,-7.40000007301569,1600,0.8376218242716044,1.7216557769565806,0.014026550953889985
178,1.0,1600,0.8367842024473328,1.2849401429821983,0.006484916063808709
179,0.0,1600,0.8359474182448854,1.2904040183851493,0.005837565844235636
